old_path,new_path
/index.php,/
/services.php,/
/products.php,/
/gallery.php,/gallery
/gallery-list.php,/gallery
/about.php,/about
/faq.php,/faq
/testimonials.php,/testimonials
/blogs.php,/
/blog-details.php,/
/inquiry.php,/get-pricing
/contact-us.php,/contact
/privacy.php,/privacy
/packages.php,/get-pricing
/flower_walls.php,/flower-wall-rental
/wov_mirror.php,/mirror-photo-booth
/wov_digital.php,/studio-booth
/wov_360x.php,/360-photo-booth
/wov_xceptiona.php,/mirror-photo-booth
/experience.php?page=10,/branded-photo-booth
/experience.php,/
/corporate.php?page=9,/wedding-photo-booth
/corporate.php?page=10,/special-occasions
/corporate.php?page=12,/branded-photo-booth
/corporate.php?page=19,/vogue-booth
/corporate.php?page=20,/roaming-photo-booth
/corporate.php?page=21,/mosaic-wall
/corporate.php?page=22,/mirror-photo-booth
/corporate.php?page=23,/green-screen-photo-booth
/corporate.php?page=24,/360-photo-booth
/corporate.php,/corporate-events
